number,dummy_non_parameter_1,dummy_non_parameter_2,dummy_non_parameter_3,dummy_non_parameter_4,barrier_algorithm,barrier_crossover,barrier_limits_corrections,barrier_limits_growth,barrier_ordering,barrier_startalg,emphasis_memory,emphasis_mip,emphasis_numerical,feasopt_mode,lpmethod,mip_cuts_cliques,mip_cuts_covers,mip_cuts_disjunctive,mip_cuts_flowcovers,mip_cuts_gomory,mip_cuts_gubcovers,mip_cuts_implied,mip_cuts_mcfcut,mip_cuts_mircut,mip_cuts_pathcut,mip_cuts_zerohalfcut,mip_limit_probetime,mip_limits_aggforcut,mip_limits_cutpasses,mip_limits_cutsfactor,mip_limits_gomorycand,mip_limits_gomorypass,mip_limits_strongcand,mip_limits_strongit,mip_limits_submipnodelim,mip_ordertype,mip_polishafter_time_rel,mip_strategy_backtrack,mip_strategy_bbinterval,mip_strategy_branch,mip_strategy_dive,mip_strategy_file,mip_strategy_fpheur,mip_strategy_heuristicfreq,mip_strategy_lbheur,mip_strategy_nodeselect,mip_strategy_order,mip_strategy_presolvenode,mip_strategy_probe,mip_strategy_rinsheur,mip_strategy_search,mip_strategy_startalgorithm,mip_strategy_subalgorithm,mip_strategy_variableselect,network_netfind,network_pricing,perturbation_constant,preprocessing_aggregator,preprocessing_boundstrength,preprocessing_coeffreduce,preprocessing_dependency,preprocessing_dual,preprocessing_fill,preprocessing_linear,preprocessing_numpass,preprocessing_reduce,preprocessing_relax,preprocessing_repeatpresolve,preprocessing_symmetry,read_scale,sifting_algorithm,simplex_crash,simplex_dgradient,simplex_limits_perturbation,simplex_limits_singularity,simplex_perturbation_switch,simplex_pgradient,simplex_pricing,simplex_refactor,simplex_tolerances_markowitz
0,-1,0,0,0,3,2,64,1e+14,0,1,no,1,no,1,2,2,3,3,1,1,1,-1,-1,-1,0,-1,5,2,-1,8,800,4,10,16,1000,0,64,0.9999,0,1,3,0,0,10,no,3,yes,0,2,20,2,3,4,0,2,0,1e-8,16,0,1,0,0,5,0,0,0,0,-1,0,-1,0,-1,0,64,10,yes,0,4,16,0.5
0,-1,0,0,0,3,0,16,1e+10,2,1,yes,2,no,1,3,1,0,3,0,-1,0,1,0,1,0,1,5,1,64,16,100,4,40,0,2000,1,84,0.99,2,1,3,0,-1,40,no,1,no,1,-1,20,0,0,0,3,1,0,1e-7,-1,1,1,-1,1,2,1,1,2,1,1,0,-1,0,0,1,4,10,yes,4,64,64,0.01
0,-1,0,0,0,0,0,64,1e+8,0,1,no,3,no,4,0,-1,0,-1,1,2,0,0,1,0,2,2,5,3,16,16,800,1,20,1,500,1,36,0.9,15,-1,0,0,2,0,no,1,yes,0,2,0,0,1,3,1,2,2,1e-6,-1,1,1,0,-1,20,0,16,2,0,2,1,-1,1,0,3,64,20,no,1,16,4,0.0001
0,-1,0,0,0,3,0,-1,1e+6,1,3,yes,3,no,4,3,0,-1,0,-1,1,2,0,1,2,0,-1,100,0,64,16,400,64,2,0,125,2,64,0.9999,15,1,0,1,0,40,yes,3,no,-1,0,80,1,1,2,2,2,1,1e-4,1,0,2,2,0,5,0,-1,0,1,0,3,0,2,1,3,4,5,no,-1,4,0,0.0001
0,-1,0,0,0,2,1,0,1e+8,0,3,no,2,yes,0,2,-1,3,-1,2,0,1,-1,-1,2,2,1,100,5,1,1,200,1,5,0,125,0,64,0.99999,4,0,3,1,-1,0,no,1,yes,1,3,40,2,3,1,-1,2,2,1e-6,16,0,0,1,-1,2,1,1,3,-1,3,0,0,4,0,1,1,20,yes,3,64,16,0.0001
0,-1,0,0,0,3,-1,1,1e+6,2,4,yes,1,yes,1,3,1,0,1,1,1,0,1,1,2,-1,0,1e+75,5,0,8,200,4,40,4,250,3,99,0.9999,30,-1,3,1,1,80,no,2,no,2,0,10,0,6,2,4,1,1,1e-6,1,1,2,3,0,2,1,16,2,1,2,0,-1,1,-1,5,16,10,no,3,0,16,0.5
0,-1,0,0,0,3,0,1,1e+14,3,4,yes,3,no,0,6,0,0,0,1,1,0,1,0,0,0,-1,10,3,-1,1,100,16,20,1,500,0,99,0.99,7,0,1,1,-1,20,no,3,no,0,-1,0,1,0,0,0,3,0,1e-4,16,0,1,2,-1,40,0,1,0,0,3,3,0,0,-1,2,1,20,yes,3,16,4,0.1
0,-1,0,0,0,1,0,-1,1e+6,1,4,no,2,no,2,0,2,1,3,1,2,-1,0,1,0,2,2,100,2,64,8,200,64,40,4,250,3,64,0.99,4,0,3,1,2,80,yes,3,no,-1,-1,20,0,1,3,0,1,0,1e-4,64,-1,0,2,1,20,1,-1,2,-1,0,4,0,1,0,1,64,20,yes,0,0,4,0.01
0,-1,0,0,0,0,1,16,1e+8,0,2,yes,1,yes,2,4,0,3,-1,1,1,2,1,1,1,2,0,10,1,0,2,400,16,5,4,250,3,98,0.999999,0,-1,3,1,-1,-1,yes,1,yes,0,0,0,2,2,4,4,2,2,1e-5,-1,0,0,0,0,40,1,1,3,-1,2,2,0,4,-1,3,4,2,yes,2,64,64,0.0001
0,-1,0,0,0,2,2,-1,1e+14,0,2,no,1,no,0,0,3,3,0,1,1,0,1,2,-1,-1,0,10,0,4,4,200,16,10,4,2000,0,36,0.9999,15,0,0,1,2,10,no,3,no,2,1,0,0,4,3,1,3,2,1e-5,4,1,0,1,-1,10,1,-1,0,0,1,2,0,2,1,4,1,10,no,1,4,64,0.1
