number, dummy_non_parameter_1, dummy_non_parameter_2, dummy_non_parameter_3, dummy_non_parameter_4, p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, p16, p17, p18, p19, p20, p21, p22, p23
0, -1, 0, 0, 0, 50, YES, 0.05, YES, 20, 4, 75, 15, YES, -0.1, -0.25, 7, 7, 4, NONE, 0, NONE, 100, YES, 5, 2, 3, YES
0, -1, 0, 0, 0, 150, NO, 0.0005, NO, 1, 4, 50, 5, NO, -0.02, -2, 3, 5, 4, RESTRICTED, 4, EXTENDED, 100, NO, 2, 1, 5, NO
0, -1, 0, 0, 0, 150, NO, 0.005, YES, 2, 6, 10, 10, YES, 200, -0.1, 4, 4, 4, RESTRICTED, 2, NONE, 100, YES, 1, 1, 0, NO
0, -1, 0, 0, 0, 75, NO, 0.001, YES, 10, 4, 5, 3, YES, -0.05, -4, 4, 5, 0, EXTENDED, 2, RESTRICTED, 10, YES, 10, 2, 6, NO
0, -1, 0, 0, 0, 10, YES, 0.0005, NO, 10, 6, 30, 7, NO, -1, -0.5, 7, 6, 2, RESTRICTED, 3, NONE, 100, NO, 5, 3, 6, NO
0, -1, 0, 0, 0, 10, YES, 0.1, NO, 2, 6, 20, 5, YES, -0.2, -0.1, 5, 7, 1, NONE, 4, NONE, 1000, NO, 5, 4, 5, YES
0, -1, 0, 0, 0, 5, YES, 0.0001, YES, 50, 0, 10, 20, NO, 100, -0.1, 4, 4, 2, EXTENDED, 0, NONE, 10, YES, 1, 1, 6, YES
0, -1, 0, 0, 0, 10, YES, 0.0001, YES, 20, 4, 50, 10, NO, -0.5, -0.25, 4, 6, 3, EXTENDED, 2, EXTENDED, 1000, YES, 20, 1, 5, NO
0, -1, 0, 0, 0, 10, NO, -1, YES, 20, 6, 10, 3, NO, 200, -2, 7, 4, 2, RESTRICTED, 4, NONE, 100, YES, 1, 5, 3, YES
0, -1, 0, 0, 0, 0, NO, 0.005, YES, 50, 4, 20, 7, YES, -0.1, -10, 5, 5, 2, EXTENDED, 0, RESTRICTED, 1000, YES, 2, 2, 3, NO
0, -1, 0, 0, 0, 0, YES, 0.05, YES, 2, 6, 20, 10, YES, 100, -4, 2, 6, 4, NONE, 4, EXTENDED, 10, NO, 20, 4, 2, NO
